case_uid,urls_id,ld
exp38,31,-5386
mat36,36,-1672
exp33,40,-1806
exp78,81,-2512
exp90,88,-1301
exp91,92,-2939
exp136,132,-1013
exp144,150,-1275
url165,165,-1040
url166,166,-2805
url170,170,-2442
mat173,173,-1396
mat206,206,-2622
url218,218,-2006
exp233,241,-1760
mat245,245,-1233
exp253,257,-2794
exp269,268,-4729
,269,-4657
,270,-4729
,271,-4657
exp314,315,-1951
,338,-1150
url440,440,-2083
url444,444,-1247
exp462,464,-3294
exp463,465,-1064
exp507,502,-1056
exp525,520,-3435
exp549,534,-6421
exp514,535,-4201
mat540,540,-6574
exp537,542,-1069
exp532,544,-1246
exp570,556,-9366
exp567,561,-1020
url566,566,-1192
url567,567,-2451
url574,574,-1905
url575,575,-3164
url578,578,-1412
url579,579,-2671
url583,583,-1480
url588,588,-1005
url589,589,-2524
mat601,601,-3593
exp597,602,-1033
mat629,629,-1688
mat656,656,-3354
exp668,670,-1781
exp704,711,-1274
exp707,713,-1832
exp708,714,-3367
exp722,718,-1080
exp769,769,-1327
exp813,813,-3713
mat818,818,-1756
exp825,820,-1813
url835,835,-1071
exp836,838,-1513
exp843,839,-1418
exp842,844,-2017
exp844,846,-1804
,861,-2496
url865,865,-6645
url869,869,-4187
exp874,876,-1227
mat882,882,-1975
mat929,929,-2556
mat930,930,-1750
mat940,940,-1830
exp953,957,-4142
mat961,961,-1020
exp973,976,-2393
exp984,993,-1130
mat1015,1015,-1223
mat1043,1043,-1431
exp1059,1058,-2111
mat1060,1060,-4969
exp1084,1084,-1526
exp1121,1119,-2272
exp1160,1157,-1030
mat1201,1201,-1925
exp1217,1218,-1334
exp1237,1240,-1090
exp1234,1245,-2669
exp1275,1276,-1255
mat1286,1286,-1099
exp1301,1296,-1395
exp1323,1318,-1623
mat1358,1358,-1057
mat1464,1464,-1215
exp1463,1465,-1061
exp1466,1469,-3476
mat1477,1477,-1072
exp1482,1485,-20743
exp1490,1491,-3270
