"reseni","n","podil_DU","podil_NEU"
"Práce s kolektivem",178,0.668539325842697,0.213483146067416
"Dohoda",129,0.627906976744186,0.232558139534884
"Podpora",334,0.502994011976048,0.287425149700599
"Rozhovor",894,0.493288590604027,0.343400447427293
"Spolupráce s odborníky",449,0.443207126948775,0.376391982182628
"(Kázeňské) Tresty",102,0.392156862745098,0.431372549019608
"Důsledky",240,0.391666666666667,0.441666666666667
"Upozornění",220,0.390909090909091,0.390909090909091
"Přemístění žáka",201,0.3681592039801,0.437810945273632
"Fyzické zakročení",41,0.268292682926829,0.439024390243902
"Nerespektující komunikace",144,0.215277777777778,0.590277777777778
